CustomerId,Complain,Satisfaction Score,Card Type,Point Earned
15634602,1,2,DIAMOND,464
15647311,1,3,DIAMOND,456
15619304,1,3,DIAMOND,377
15701354,0,5,GOLD,350
15737888,0,5,GOLD,425
15574012,1,5,DIAMOND,484
15592531,0,2,SILVER,206
15656148,1,2,DIAMOND,282
15792365,0,3,GOLD,251
15592389,0,3,GOLD,342
15767821,0,3,GOLD,264
15737173,0,3,GOLD,249
15632264,0,3,SILVER,119
15691483,0,3,PLATINUM,549
15600882,0,2,GOLD,318
15643966,0,5,GOLD,308
15737452,0,2,SILVER,163
15788218,0,3,SILVER,544
15661507,0,3,PLATINUM,732
15568982,0,4,GOLD,477
15577657,0,3,PLATINUM,568
15597945,0,2,DIAMOND,336
15699309,1,2,DIAMOND,887
15725737,0,2,SILVER,665
15625047,0,3,PLATINUM,225
15738191,0,3,PLATINUM,659
15736816,0,5,DIAMOND,236
15700772,0,4,PLATINUM,448
15728693,0,5,DIAMOND,499
15656300,0,2,GOLD,343
15589475,1,3,DIAMOND,298
15706552,0,5,SILVER,628
15750181,0,3,GOLD,611
15659428,0,2,SILVER,922
15732963,0,5,PLATINUM,276
15794171,1,1,DIAMOND,877
15788448,0,4,SILVER,471
15729599,0,2,GOLD,994
15717426,0,3,GOLD,944
15585768,0,5,GOLD,419
15619360,0,4,DIAMOND,545
15738148,1,5,SILVER,828
15687946,0,3,PLATINUM,789
15755196,1,2,GOLD,567
15684171,0,1,PLATINUM,884
15754849,0,1,SILVER,296
15602280,1,3,DIAMOND,779
15771573,1,1,SILVER,730
15766205,0,3,DIAMOND,960
15771873,0,1,SILVER,268
15616550,0,4,SILVER,829
15768193,0,3,SILVER,665
15683553,0,3,GOLD,982
15702298,1,3,SILVER,343
15569590,1,2,DIAMOND,225
15760861,0,5,SILVER,657
15630053,0,2,PLATINUM,221
15647091,0,2,PLATINUM,406
15623944,1,5,SILVER,549
15804771,0,4,PLATINUM,954
15651280,0,4,GOLD,823
15773469,0,5,DIAMOND,769
15702014,0,5,PLATINUM,481
15751208,0,4,SILVER,903
